cluster_id;alarm_id;ne_id;NOTE SPV;domain;network;ne_type;std_probable_cause_no;geo_code;first_occurrence;last_occurrence
23801;"EFMTX;65eeac8f89e9530001bd7c5d";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:38;2024-03-11 19:36:19
23801;"EFMTX;65eeac8489e9530001bd7c33";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:27;2024-03-11 19:36:19
23801;"EFMTX;65eeac9089e9530001bd7c6b";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:38;2024-03-11 19:36:25
23801;"EFMTX;65eeac8389e9530001bd7c2d";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:27;2024-03-11 19:36:19
23801;"EFMTX;65eeac8489e9530001bd7c35";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:27;2024-03-11 19:36:25
23801;"EFMTX;65eeac8789e9530001bd7c4f";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:28;2024-03-11 19:36:19
23801;"EFMTX;65eeac8689e9530001bd7c49";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:27;2024-03-11 19:36:25
23801;"EFMTX;65eeac8e89e9530001bd7c52";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:38;2024-03-11 19:36:26
23801;"EFMTX;65eeac9989e9530001bd7c7a";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:49;2024-03-11 19:36:26
23801;"EFMTX;65eeac8789e9530001bd7c4d";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:27;2024-03-11 19:36:24
23801;"EFMTX;65eeac8e89e9530001bd7c56";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:38;2024-03-11 19:36:26
23801;"EFMTX;65eeac8689e9530001bd7c41";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:27;2024-03-11 19:36:19
23801;"EFMTX;65eeac8389e9530001bd7c2b";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:27;2024-03-11 19:36:19
23801;"EFMTX;65eeac8389e9530001bd7c2f";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:27;2024-03-11 19:36:19
23801;"EFMTX;65eeac8489e9530001bd7c31";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:27;2024-03-11 19:36:25
23801;"EFMTX;65eeac8589e9530001bd7c3b";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:27;2024-03-11 19:36:25
23801;"EFMTX;65eeac8589e9530001bd7c3d";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:27;2024-03-11 19:36:19
23801;"EFMTX;65eeac8589e9530001bd7c3f";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:27;2024-03-11 19:36:25
23801;"EFMTX;65eeac8689e9530001bd7c45";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:27;2024-03-11 19:36:19
23801;"EFMTX;65eeac8689e9530001bd7c47";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:27;2024-03-11 19:36:26
23801;"EFMTX;65eeac8e89e9530001bd7c54";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:38;2024-03-11 19:36:26
23801;"EFMTX;65eeac8f89e9530001bd7c5b";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:38;2024-03-11 19:36:19
23801;"EFMTX;65eeac9089e9530001bd7c65";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:38;2024-03-11 19:36:19
23801;"EFMTX;65eeac9089e9530001bd7c69";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:02:38;2024-03-11 19:36:26
23801;"EFMTX;65eeaca489e9530001bd7c8e";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:03:00;2024-03-11 19:36:26
23801;"EFMTX;65eeaca489e9530001bd7c92";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:03:00;2024-03-11 19:36:26
23801;"EFMTX;65eeaca489e9530001bd7c94";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:03:00;2024-03-11 19:36:26
23801;"EFMTX;65eeaca589e9530001bd7c96";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:03:00;2024-03-11 19:36:26
23801;"EFMTX;65eeaca489e9530001bd7c8a";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:03:00;2024-03-11 19:36:26
23801;"EFMTX;65eeaca489e9530001bd7c8c";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:03:00;2024-03-11 19:36:26
23801;"EFMTX;65eeaca489e9530001bd7c90";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:03:00;2024-03-11 19:36:26
23801;"EFMTX;65eeaca989e9530001bd7c9b";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:03:05;2024-03-11 19:36:26
23801;"EFMTX;65eeaca989e9530001bd7c9d";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:03:05;2024-03-11 19:36:26
23801;"EFMTX;65eeaca989e9530001bd7c99";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:03:05;2024-03-11 19:36:26
23801;"EFMTX;65eeaca989e9530001bd7c9f";romaitbh/ad64/1;CORRELAZIONE OK CLUSTER 23801;tx;sdh;ad64;guasto matrice;roma;2024-03-11 08:03:05;2024-03-11 19:36:26
23801;"EFMTX;65eeada56423e50001f28362";romaitdm/adm4/5;CORRELAZIONE ERRATA SU CLUSTER 23801;tx;sdh;adm4;loss of pointer lop;roma;2024-03-11 08:07:17;2024-03-11 08:43:55
23801;"EFMTX;65eeada56423e50001f28364";romaitdm/adm4/5;CORRELAZIONE ERRATA SU CLUSTER 23801;tx;sdh;adm4;loss of pointer lop;roma;2024-03-11 08:07:17;2024-03-11 08:43:57
23801;"EFMTX;65eeada66423e50001f28368";romaitdm/adm4/5;CORRELAZIONE ERRATA SU CLUSTER 23801;tx;sdh;adm4;loss of pointer lop;roma;2024-03-11 08:07:18;2024-03-11 08:43:54
23801;"EFMTX;65eeada66423e50001f2836a";romaitdm/adm4/5;CORRELAZIONE ERRATA SU CLUSTER 23801;tx;sdh;adm4;loss of pointer lop;roma;2024-03-11 08:07:18;2024-03-11 08:43:56
23801;"EFMTX;65eeae026423e50001f28389";romaitdm/adm4/5;CORRELAZIONE ERRATA SU CLUSTER 23801;tx;sdh;adm4;loss of pointer lop;roma;2024-03-11 08:08:50;2024-03-11 08:43:53
23895;"EFMTX;65eeb0f31cf17b000167d3db";latiitfc/prer/1;CORRELAZIONE OK CLUSTER 23895;tx;sdh;prer;potenza bassa su sfp lan down;lati;2024-03-11 08:21:22;2024-03-11 09:49:52
23895;"EFMTX;65eeb0f31cf17b000167d3df";latiitfc/prer/1;CORRELAZIONE OK CLUSTER 23895;tx;sdh;prer;ethernet link down;lati;2024-03-11 08:21:22;2024-03-11 09:49:52
23895;"EFMTX;65eeb0f21cf17b000167d3d7";latiitfc/prer/1;CORRELAZIONE OK CLUSTER 23895;tx;sdh;prer;loss of signal los;lati;2024-03-11 08:21:22;2024-03-11 09:40:25
23895;"EFMTX;65eeb0f25e16e30001ac43e0";latiitan/prer/1;CORRELAZIONE OK CLUSTER 23895;tx;sdh;prer;allarme protezione;lati;2024-03-11 08:21:22;2024-03-11 09:04:30
23895;"EFMTX;65eeb11953da8b00018bc714";latiitan/prer/3;CORRELAZIONE ERRATA SU CLUSTER 23895;tx;sdh;prer;signal degraded;lati;2024-03-11 08:22:00;2024-03-13 12:51:06
23895;"EFMTX;65eeb0f21cf17b000167d3d9";latiitfc/prer/1;CORRELAZIONE OK CLUSTER 23895;tx;sdh;prer;scheda guasta;lati;2024-03-11 08:21:22;2024-03-11 09:40:25
