slogan,occurrences,f1
cell logical channel availability supervision,26676,0.7156705260276794
apparato isolato,26603,0.7130524516105652
base station connectivity problem,22687,0.6864025592803955
signal degraded,21426,0.6868518590927124
fermo parziale gsm,20073,0.8137147426605225
fermo totale gsm,18361,0.8187190890312195
fermo totale lte,17571,0.7724111080169678
base station connectivity degraded,15067,0.6601287722587585
loss of signal los,14076,0.5506859421730042
fermo parziale lte,9715,0.7337110638618469
apparato isolato pr,9637,0.5467479825019836
fermo cella lte,9087,0.7426900863647461
loss of frame lof,8703,0.5468354225158691
fermo parziale sito,8352,0.8207838535308838
heartbeat failure,8352,0.6972838640213013
fermo totale sito,8070,0.8233897089958191
scheda guasta,7629,0.4717269539833069
apparato disservito,6743,0.7043464183807373
guasto matrice,6460,0.4646464586257934
fermo totale apparato,6332,0.7215349078178406
fermo cella iot,5348,0.6872131824493408
allarme trasmissivo ip,5112,0.348143994808197
oproutgoing channel optical power out of range,4579,0.1592039912939071
lof,3946,0.5140562057495117
loss of pointer lop,3437,0.3492741286754608
signal degraded critical,3431,0.3737373352050781
base station service problem,3371,0.4145261347293854
allarme interno,3304,0.4386649429798126
guasto ima,3248,0.1715762317180633
oprchannel optical power out of range,2992,0.2343750149011612
allarme trasmissivo,2807,0.27027028799057
anomalia rf rx,2633,0.5728493332862854
potenza bassa su sfp lan down,2381,0.261464774608612
problemi wdm,2373,0.1423221081495285
segnale degradato,2301,0.3657780289649963
pwr unbalanced unbalanced optical power flatness,2249,0.1169230863451957
allarme alimentazione,2219,0.2958977818489074
alimentazione,2199,0.0173010379076004
fermo totale 5g,2170,0.3799725770950317
fermo parziale 5g,2143,0.4379375874996185
ethernet link down,2067,0.3333333432674408
payload type mismatch intermittente ho slm,1645,0.184747576713562
potenza ottica anomala,1319,0.0355191230773925
allarme protezione,1232,0.1371428519487381
guasto pla,1213,0.4543379247188568
degrado laser tx,1198,0.0
base station synchronization problem,1167,0.2283236980438232
vc unequipped lo vc unequipped,1081,0.0
perdita di trama,1035,0.1000000014901161
fermo totale umts,1020,0.2103505730628967
perdita sincornismo ptp,983,0.1129326000809669
sef sef,879,0.0
cell service problem,838,0.2928709089756012
loss of multiframe lom,765,0.0
grave disservizio lte,760,0.1310679614543914
grave disservizio onuc,759,0.0
tunnel aps degraded downgrade of aps tunnel protection group,697,0.0
problema xpic,687,0.0730337128043174
serversignalfailure och ssf,604,0.0495356060564518
fermo parziale sito tec,582,0.4586288630962372
ethernetlinkdown link down,578,0.0
fermo totale sito tec,574,0.4663461446762085
grave disservizio gsm,537,0.0791366919875145
degrado performance segnale,507,0.014440432190895
receiverfailure ethernet link down,463,0.0
fermo parziale rru lte,454,0.0
receiverfailure och internal receiver failure,434,0.0
ferf och bdi,428,0.0
fermo totale rru lte,417,0.0
serversignalfailure specific problem non inviato da agent,408,0.0
ferf remote defect indication,355,0.0
oamloc locv,331,0.0
fermo parziale umts,331,0.0
optical power rx low opr lt,321,0.0
payload type mismatch ho slm,321,0.0
lossofwavelength och low,269,0.0
sef intermittente sef,254,0.0
losloss of signal,243,0.0
payload type mismatch intermittente lo slm,238,0.0
payload type mismatch payload type mismatch,228,0.0
loss of xpic signal,210,0.0
loss of multiframe loss of multiframe,199,0.0
fermo totale bbu lte,199,0.0
loss of signal loss of signal,187,0.0
tunnel aps outage outage of aps tunnel protection group,157,0.0
chan los single channel signals lost,147,0.0
equipment removed rmvd,143,0.0
loss of signal och low,121,0.0357142835855484
loss of frame,108,0.0
server signal failure egress odu och ssf,102,0.0
eqpt sef,101,0.0
loss of synchronization loss of synchronization,93,0.0
mpls tunnel rdi mpls tunnel rdi,83,0.0
receivedpowerhigh low lpr,79,0.0
ochcollisionchannel collision,60,0.0
serversignalfailure ogpi internal receiver failure,58,0.0
opttxlow reducedtransmitteroutputpower,50,0.0
vlan megaco ko,42,0.0
oproutgoing channel optical power out of range xexc,32,0.0
loss of signal alos,28,0.0
excessive ber excessive ber,24,0.0
pwrsusp rxpower management suspended xexc xexc xexc,11,0.0
canale di comunicazione interno down,9,0.0
replaceablemodulemissing eqpt,8,0.0
oproutgoing channel optical power out of range xexc ag,6,0.0
None,2,
vc unequipped ho vc unequipped,1,0.0
serversignalfailure odu ssf,0,0.0
unidentified specific problem non inviato da agent,0,0.0
oproutgoing channel optical power out of range xexc zb,0,0.0
net specific problem non inviato da agent,0,0.0
cardinitcard initializing,0,0.0
guasto bus di comunicazione,0,0.0
crdpwroff card power off xexc xexc,0,0.0
