cluster_id2,GUASTO CAVO
202301090504_2,False
202301090504_3,False
202301090506_10,False
202301090506_15,False
202301090506_16,False
202301090506_19,False
202301090506_20,False
202301090506_4,False
202301090506_5,False
202301090506_6,False
202301090516_3,False
202301100152_15,True
202301100202_16,True
202301100204_10,False
202301100204_13,True
202301100204_2,True
202301100206_5,True
202301100208_11,False
202301100208_12,False
202301100208_21,False
202301100208_26,False
202301100208_4,False
202301100208_6,False
202301100208_9,False
202301100216_8,False
202301100220_2,True
202301100230_9,True
202301100424_14,True
202301100442_2,True
202301100442_3,True
202301100456_6,True
202301100600_3,True
202301101408_14,False
202301101408_7,False
202301101428_8,False
202301110106_10,True
202301110106_7,True
202301110108_5,True
202301110120_7,True
202301110302_7,True
202301110322_8,True
202301110436_3,True
202301110446_5,True
202301110928_26,False
202301110952_27,False
202301111042_11,False
202301120120_4,True
202301120130_7,True
202301120134_2,True
202301120136_18,True
202301120156_11,True
202301120158_7,True
202301120204_16,True
202301120206_10,True
202301120206_6,True
202301120206_7,True
202301120212_3,True
202301120218_12,True
202301120224_3,True
202301120258_7,True
202301120310_18,True
202301120316_10,True
202301120316_4,True
202301120320_11,True
202301120324_2,True
202301120338_7,True
202301120344_14,True
202301120344_5,True
202301120348_4,True
202301120352_2,True
202301120358_10,True
202301120358_4,True
202301120422_14,True
202301120422_3,True
202301120508_10,True
202301120548_8,True
202301120610_2,False
202301120610_6,False
202301120610_7,False
202301120610_8,False
202301130204_15,True
202301130204_2,True
202301130204_5,True
202301130204_9,True
202301130218_15,True
202301130256_9,True
202301170102_10,True
202301170102_9,True
202301170118_26,True
202301170126_7,True
202301170154_16,True
202301170204_13,False
202301170212_8,True
202301170214_1,False
202301170214_11,True
202301170220_2,False
202301170230_20,False
202301180132_17,False
202301180142_15,False
202301180142_3,False
202301180144_1,False
202301180144_18,False
202301180144_2,False
202301180146_14,False
202301180200_13,False
202301180200_3,True
202301180202_2,False
202301180204_1,True
202301180204_10,False
202301180204_11,True
202301180204_12,True
202301180204_15,False
202301180204_18,True
202301180204_19,True
202301180204_2,False
202301180204_21,True
202301180204_22,True
202301180204_23,False
202301180204_24,False
202301180204_26,True
202301180204_27,False
202301180204_28,True
